local_raw,nome_norm,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
Parnamirim,parnamirim,2610400.0,Parnamirim,-8.08729,-39.5795,0.0,26.0,2507.0,87.0,America/Sao_Paulo
DF - Ceilândia,df - ceilandia,,,,,,,,,
Aparato geral - Pernambuco,aparato geral - pernambuco,,,,,,,,,
Aparato geral - Pará,aparato geral - para,,,,,,,,,
Aparato geral - Pará,aparato geral - para,,,,,,,,,
regiões da Bahia,regioes da bahia,,,,,,,,,
Pernambuco,pernambuco,,,,,,,,,
Maranhão,maranhao,,,,,,,,,
Pará,para,,,,,,,,,
Amazônia,amazonia,,,,,,,,,
regiões da Bahia,regioes da bahia,,,,,,,,,
Pernambuco,pernambuco,,,,,,,,,
Maranhão,maranhao,,,,,,,,,
Pará,para,,,,,,,,,
Amazônia,amazonia,,,,,,,,,
Aparato geral - Bahia,aparato geral - bahia,,,,,,,,,
Aparato geral - Bahia,aparato geral - bahia,,,,,,,,,
Aparato geral - Brasil,aparato geral - brasil,,,,,,,,,
Aparato geral - Pernambuco,aparato geral - pernambuco,,,,,,,,,
Abaré,abare,2900207.0,Abaré,-8.72073,-39.1162,0.0,29.0,3303.0,75.0,America/Sao_Paulo
Juazeiro,juazeiro,2918407.0,Juazeiro,-9.41622,-40.5033,0.0,29.0,3669.0,74.0,America/Sao_Paulo
nan,nan,,,,,,,,,
Buriticupu,buriticupu,2102325.0,Buriticupu,-4.32375,-46.4409,0.0,21.0,134.0,98.0,America/Sao_Paulo
Alto Alegre do Pindaré,alto alegre do pindare,2100477.0,Alto Alegre do Pindaré,-3.66689,-45.8421,0.0,21.0,108.0,98.0,America/Sao_Paulo
Maracaçumé,maracacume,2106326.0,Maracaçumé,-2.04918,-45.9587,0.0,21.0,190.0,98.0,America/Sao_Paulo
Centro do Guilherme,centro do guilherme,2103158.0,Centro do Guilherme,-2.44891,-46.0345,0.0,21.0,146.0,98.0,America/Sao_Paulo
Centro Novo do Maranhão,centro novo do maranhao,2103174.0,Centro Novo do Maranhão,-2.12696,-46.1228,0.0,21.0,148.0,98.0,America/Sao_Paulo
Cachoeira do Piriá,cachoeira do piria,1501956.0,Cachoeira do Piriá,-1.75974,-46.5459,0.0,15.0,46.0,91.0,America/Sao_Paulo
Ilhas do Rio São Francisco,ilhas do rio sao francisco,,,,,,,,,
na Região de Orocó,na regiao de oroco,,,,,,,,,
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Belém do São Francisco,belem do sao francisco,2601607.0,Belém do São Francisco,-8.75046,-38.9623,0.0,26.0,2331.0,87.0,America/Sao_Paulo
Santa Maria da Boa Vista.,santa maria da boa vista.,,,,,,,,,
Além disso,alem disso,,,,,,,,,
a PF também esteve presente em áreas de caatinga em Salgueiro,a pf tambem esteve presente em areas de caatinga em salgueiro,,,,,,,,,
Carnaubeira da Penha,carnaubeira da penha,2603926.0,Carnaubeira da Penha,-8.31799,-38.7512,0.0,26.0,2635.0,87.0,America/Sao_Paulo
Serra Talhada,serra talhada,2613909.0,Serra Talhada,-7.98178,-38.289,0.0,26.0,2577.0,87.0,America/Sao_Paulo
Betânia,betania,2601805.0,Betânia,-8.26787,-38.0345,0.0,26.0,2335.0,87.0,America/Sao_Paulo
Parnamirim,parnamirim,2403251.0,Parnamirim,-5.91116,-35.271,0.0,24.0,1779.0,84.0,America/Sao_Paulo
Parnamirim,parnamirim,2610400.0,Parnamirim,-8.08729,-39.5795,0.0,26.0,2507.0,87.0,America/Sao_Paulo
Ibó,ibo,,,,,,,,,
Floresta,floresta,4107900.0,Floresta,-23.6031,-52.0807,0.0,41.0,7555.0,44.0,America/Sao_Paulo
Floresta,floresta,2605707.0,Floresta,-8.60307,-38.5687,0.0,26.0,2413.0,87.0,America/Sao_Paulo
São Pedro da Aldeia (Cabo Frio),sao pedro da aldeia (cabo frio),,,,,,,,,
Lagoa Grande,lagoa grande,3137536.0,Lagoa Grande,-17.8323,-46.5165,0.0,31.0,2905.0,34.0,America/Sao_Paulo
Lagoa Grande,lagoa grande,2608750.0,Lagoa Grande,-8.99452,-40.2767,0.0,26.0,552.0,87.0,America/Sao_Paulo
Dormentes,dormentes,2605152.0,Dormentes,-8.44116,-40.7662,0.0,26.0,2299.0,87.0,America/Sao_Paulo
Orocó,oroco,2609808.0,Orocó,-8.61026,-39.6026,0.0,26.0,2495.0,87.0,America/Sao_Paulo
Carnaubeira da Penha,carnaubeira da penha,2603926.0,Carnaubeira da Penha,-8.31799,-38.7512,0.0,26.0,2635.0,87.0,America/Sao_Paulo
Principalmente Salgueiro,principalmente salgueiro,,,,,,,,,
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Sertânia,sertania,2614105.0,Sertânia,-8.06847,-37.2684,0.0,26.0,2581.0,87.0,America/Sao_Paulo
Floresta,floresta,4107900.0,Floresta,-23.6031,-52.0807,0.0,41.0,7555.0,44.0,America/Sao_Paulo
Floresta,floresta,2605707.0,Floresta,-8.60307,-38.5687,0.0,26.0,2413.0,87.0,America/Sao_Paulo
Belém de São Francisco,belem de sao francisco,,,,,,,,,
Afogados da Ingazeira,afogados da ingazeira,2600104.0,Afogados da Ingazeira,-7.74312,-37.631,0.0,26.0,2301.0,87.0,America/Sao_Paulo
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Belém de São Francisco,belem de sao francisco,,,,,,,,,
Entre Tacuru,entre tacuru,,,,,,,,,
Iguatemi,iguatemi,5004304.0,Iguatemi,-23.6736,-54.5637,0.0,50.0,9085.0,67.0,America/Porto_Velho
Rio Japurá (chamado Caquetá na Colômbia),rio japura (chamado caqueta na colombia),,,,,,,,,
X,x,,,,,,,,,
X,x,,,,,,,,,
Aparato geral - Amazonas,aparato geral - amazonas,,,,,,,,,
Aparato geral - Amazonas,aparato geral - amazonas,,,,,,,,,
Aparato geral - Amazonas,aparato geral - amazonas,,,,,,,,,
Entre Santa Helena,entre santa helena,,,,,,,,,
Mirinzal,mirinzal,2106805.0,Mirinzal,-2.07094,-44.7787,0.0,21.0,835.0,98.0,America/Sao_Paulo
Entre as cidades de Benedito Leite,entre as cidades de benedito leite,,,,,,,,,
São Domingos do Azeitão,sao domingos do azeitao,2110658.0,São Domingos do Azeitão,-6.81471,-44.6509,0.0,21.0,228.0,99.0,America/Sao_Paulo
Conceição do Lago Açu,conceicao do lago acu,,,,,,,,,
Santo Amaro,santo amaro,2928604.0,Santo Amaro,-12.5472,-38.7137,0.0,29.0,3871.0,75.0,America/Sao_Paulo
nan,nan,,,,,,,,,
nan,nan,,,,,,,,,
nan,nan,,,,,,,,,
Ilhas do Rio São Francisco,ilhas do rio sao francisco,,,,,,,,,
